MAKEMOD,MODYR,STICKER,MPGAVG,HP,RPM,PWRTOWEIGHT,TORQUE (LB-FT),WT,CARGOVOL,LENGTH,WIDTH
CIVIC Si Sedan,2012,23345,25,201,7000,0.0694,170,2895,12.5,177.3,69
FIAT 500 Abarth,2013,21845,31,160,5500,0.0637,170,2512,30.1,144.4,64.1
FIAT 500 Sport,2013,17500,35.5,101,6500,0.0427,98,2363,30.1,139.6,64.1
FIAT 500 Turbo,2013,19500,31,135,5500,0.0571,150,2363,30.1,144.4,64.1
FORD  Focus  SE,2013,19500,30,160,6500,0.0543,146,2948,44.8,171.6,71.8
FORD  Focus  ST,2014,24565,26,252,5500,0.0782,270,3223,44.8,171.6,71.8
FORD Fiesta SE,2015,16905,31,120,6350,0.0473,112,2537,40.3,173.5,67.8
FORD Fiesta SE Ecoboost,2015,17900,36,123,6350,0.0485,148,2537,40.3,173.5,67.8
"FORD
 Mustang V6",2014,22995,24,305,6500,0.0871,280,3501,13.4,188.5,73.9
HONDA Accord  Sedan Sport,2013,24180,28,189,6400,0.0577,182,3276,15.8,191.4,72.8
HONDA Accord LX Sedan,2014,22980,28,185,6400,0.058,181,3192,15.8,191,72.8
HONDA Accord LX-S Coupe,2013,24140,28,185,7000,0.0581,181,3186,13.7,189.2,72.8
HONDA Civic Coupe EX,2012,20645,31,140,6500,0.0522,128,2681,11.7,175.5,69
HONDA Civic Coupe EX-T,2017,21600,32,174,5500,0.0635,167,2739,12.1,176.9,70.8
HONDA Civic Coupe LX,2017,19150,32,138,4200,0.0504,158,2739,12.1,176.9,70.8
HONDA Civic Hatch LX,2017,21300,33,180,5500,0.0627,177,2871,46.2,177.9,70.8
HONDA Civic Sedan LX,2014,19180,31,140,6500,0.053,128,2641,11.7,179.4,69
HONDA Civic Si Coupe,2012,23145,25,201,7000,0.0699,170,2877,11.7,176.1,69
HONDA CR-Z 2 dr,2014,20785,34,130,6000,0.0493,140,2639,25.1,160.6,68.5
HONDA Fit LX,2017,15525,32,130,6600,0.0517,114,2513,52.7,160,67
HONDA Fit Sport,2012,17680,29,117,6600,0.0461,106,2540,57.3,161.6,66.7
HYUNDAI Elantra GLS,2012,16120,33,148,6500,0.0556,131,2661,14.8,178,69.9
HYUNDAI Elantra GT,2013,19170,30,148,6500,0.0541,131,2735,14.8,169.3,70.1
HYUNDAI Genesis Coupe,2013,25125,24,274,6000,0.0815,275,3362,,182.3,73.4
HYUNDAI Veloster Base,2013,18395,31,138,6300,0.0534,123,2584,34.7,166.1,70.5
HYUNDAI Veloster Turbo,2013,22895,31,201,6300,0.0718,195,2800,34.7,166.1,70.5
KIA  Forte5 SX ,2014,21600,24,201,6000,0.0677,195,2970,23.2,171.3,70.1
KIA  Soul Base,2017,16100,27,130,6300,0.0479,118,2714,49.5,163,70.9
Mazda  6 Wagon V6,2006,,21,215,6000,0.0621,199,3461,33.7,187.8,70.1
MAZDA 2 Sport,2012,15325,32,100,6000,0.0434,98,2306,27,155.5,66.7
MAZDA 2 Touring,2012,16815,32,100,6000,0.0434,98,2306,27,155.5,66.7
MAZDA 3 HATCH  ,2014,20040,34.5,155,6000,0.0554,148,2797,47.1,175.6,70.7
MAZDA 3 HATCH iTouring ,2012,18950,32.5,155,6000,0.0535,148,2896,42.8,177.4,69.1
MAZDA 3 Hatch sTouring ,2012,22595,24,167,6000,0.0548,168,3048,42.8,177.4,69.1
MAZDA 3 Sedan iSport ,2012,17640,29,148,6500,0.0516,135,2866,11.8,180.9,69.1
MAZDA 3 Sedan iSV,2013,17495,29,148,6500,0.0516,135,2866,11.8,180.9,69.1
MAZDA 3 Sedan iTouring ,2012,19495,33,155,6000,0.054,148,2872,11.8,180.9,69.1
MAZDA MX-5 Package C,1992,4500,25,116,6800,0.0523,100,2216,,155.4,65.9
MAZDA Speed3 ,2013,24995,21.5,263,5500,0.0802,280,3281,42.8,177.4,69.1
MINI Cooper Base,2015,20400,34.5,134,6000,0.0514,162,2605,38,151.1,68
"MINI Cooper S
",2013,20400,32,181,5500,0.0714,177,2535,24,146.6,66.3
NISSAN Juke SV,2014,20990,28,188,5200,0.0646,177,2912,35.9,162.4,69.5
NISSAN Versa 1.8 S,2013,15460,31,122,5200,0.0453,127,2693,,169.1,66.7
NISSAN VERSA Note S,2014,15560,36,109,6000,0.0452,107,2412,38.3,163.7,66.7
SCION tC Coupe,2014,19965,26,179,6000,0.0581,172,3082,34.5,176.6,70.7
SCION xD Base,2014,16075,29,128,6000,0.0488,125,2625,35.7,154.7,67.9
SUBARU  XV ,2013,22800,29.5,148,6200,0.0479,145,3087,51.9,175.2,70.1
SUBARU Impreza 2.0i,2012,20345,29,148,6200,0.0508,145,2911,49.7,173.8,68.5
SUBARU Impreza 2.0i 5-dr,2017,18895,26,152,6000,0.0511,145,2974,55.3,182.1,70
"SUBARU Impreza 2.0i premium
hatch",2012,20345,29,148,6200,0.0508,145,2911,49.7,173.8,68.5
SUBARU WRX 5 DOOR,2012,25495,22,265,,0.0826,244,3208,49.7,180.3,70.7
TOYOTA Corolla iM Base,2017,18750,31,137,6100,0.0466,126,2943,20.8,170.5,69.3
TOYOTA Corolla L (Base),2014,16890,32.5,132,6000,0.0468,128,2820,12.3,182.6,69.9
TOYOTA Yaris  3 door base,2014,14875,33,106,6000,0.0462,103,2295,,154.7,66.7
TOYOTA Yaris 3-Door L 3-Door,2017,15250,33,106,4200,0.0458,103,2315,15.4,155.5,66.7
TOYOTA Yaris iA ,2018,15950,34,106,6000,0.0444,103,2385,13.49,171.7,66.7
TOYOTA Yaris SE,2014,17300,33,106,6000,0.0462,103,2295,25.7,154.7,66.7
VOLVO C30 T5,2012,24700,29.5,227,5000,0.0709,236,3200,20.2,167.4,70.2
VW Golf 3 DOOR,2012,17995,28,170,5700,0.0573,177,2967,46,165.4,70.3
"VW Golf 3-door
Launch ed",2015,,31.5,170,1600,0.0586,200,2901,52.7,167.5,70.5
VW GTI 5 DOOR,2012,24295,26,200,5100,0.0659,207,3034,46,165.8,70
"VW Jetta
Sportwagen 2.5L",2015,22050,28,170,5700,0.0534,177,3186,66.9,179.4,70.1
